Proteins,"0hr, -IFN","0hr, +IFN","1hr, -IFN","1hr, +IFN","3hr, -IFN","3hr, +IFN"
Q10570,1,0,1,0,1,0
Q12788,1,1,1,1,1,1
Q12834,0,0,0,1,0,0
Q12906,1,1,1,1,1,1
Q13045,0,1,0,0,0,1
Q13131,0,1,1,1,1,0
Q13148,1,0,1,0,1,1
Q13200,0,1,0,0,0,0
Q13247,0,0,0,0,1,0
Q13310,1,0,1,0,1,0
Q13356,0,1,0,0,0,0
Q13409,1,0,1,1,1,0
Q13423,1,1,1,1,1,1
Q13428,1,1,1,1,1,1
Q13616,0,0,0,1,0,0
Q13724,1,0,1,0,0,0
Q14008,1,1,1,1,1,1
Q14116,0,0,0,1,1,1
Q14137,0,0,1,1,0,1
Q14151,1,1,1,1,1,1
Q14152,1,1,1,1,1,1
Q14157,1,0,0,0,0,0
Q14160,0,1,0,0,1,0
Q14185,0,0,0,0,0,1
Q14204,1,1,1,1,1,1
Q14258,1,1,0,1,0,1
Q14315,1,1,1,1,1,1
Q14534,0,0,0,1,0,0
Q14669,0,1,0,1,0,1
Q14676,1,1,1,1,1,1
Q14683,1,0,1,0,1,0
Q14687,0,0,1,0,0,0
Q14690,1,1,1,1,1,1
Q14692,1,1,1,1,1,1
Q14693,1,0,0,0,0,0
Q14694,1,1,1,1,1,1
Q14697,1,1,1,1,1,1
Q14728,1,0,0,0,0,0
Q14739,1,0,1,1,1,0
Q14764,1,1,1,1,1,1
Q14839,1,0,1,1,0,0
Q14966,0,1,0,1,0,1
Q14978,1,1,1,1,1,1
Q14980,1,1,1,1,1,1
Q149N8,0,0,0,0,0,1
Q15019,1,1,0,0,0,1
Q15021,1,0,0,0,0,0
Q15031,1,0,0,0,0,0
Q15149,1,1,1,1,1,1
Q15233,1,1,1,1,1,1
Q15269,0,1,0,1,0,1
Q15286,0,1,0,1,0,1
Q15393,1,1,1,1,1,1
Q15436,1,1,1,1,1,1
Q15646,0,1,0,1,0,1
Q15648,1,1,1,1,1,1
Q16531,0,0,0,0,0,1
Q16658,1,1,1,1,1,1
Q16666,1,1,1,1,1,1
Q16851,0,0,0,1,0,0
Q16881,1,0,0,0,1,1
Q1ED39,0,0,1,0,0,0
Q2KHR3,0,0,0,0,1,0
Q2M2I8,1,0,1,0,1,0
Q2TAY7,1,1,1,1,0,0
Q460N5,0,1,0,1,0,1
Q58FF8,0,0,0,1,0,0
Q5JTH9,1,1,1,1,1,1
Q5K651,0,1,0,1,0,1
Q5SRE5,0,0,0,0,0,1
Q5SW79,1,1,1,1,1,1
Q5T5P2,1,1,1,0,1,1
Q5T749,0,0,0,0,0,1
Q5T8P6,1,1,1,1,1,1
Q5TA45,0,1,0,1,0,0
Q5VT52,0,1,0,1,0,1
Q5VYK3,1,1,1,1,1,1
Q641Q2,0,1,0,1,0,1
Q68CZ2,0,1,0,1,0,1
Q68D10,0,0,0,1,0,1
Q69YN4,1,0,1,0,0,0
Q6NW34,0,0,1,0,1,0
Q6P1A2,1,0,0,1,0,0
Q6P1J9,1,1,1,1,1,1
Q6P2Q9,1,1,1,1,1,1
Q6P4R8,1,0,0,1,0,0
Q6PI48,0,0,0,1,0,0
Q6PJG2,0,1,0,1,0,1
Q6PKG0,1,1,1,1,1,1
Q6UB35,0,0,1,0,1,0
Q6ZSR9,1,1,1,1,1,1
Q7KZF4,1,1,1,1,1,1
Q7L2E3,1,1,1,1,1,1
Q7Z2W4,1,1,1,1,1,1
Q7Z406,1,1,1,1,1,1
Q7Z478,1,1,1,1,1,1
Q7Z4S6,0,0,0,0,1,0
Q7Z589,0,1,0,1,0,1
Q7Z6Z7,1,0,0,0,0,0
Q7Z739,1,1,1,1,1,1
Q86SQ0,1,1,1,1,1,1
Q86TI0,1,0,1,0,1,1
Q86UL3,0,0,0,1,0,0
Q86UU1,0,1,1,1,1,1
Q86V48,1,1,1,1,1,1
Q86VI3,1,0,0,0,1,0
Q86X55,0,0,0,0,0,1
Q86XP3,1,1,1,1,1,1
Q8IVF2,1,1,1,1,1,1
Q8IVU3,0,1,0,1,0,0
Q8IWA0,1,1,1,1,1,1
Q8IWR0,0,1,0,1,0,0
Q8IX12,1,0,1,1,1,0
Q8IXT5,1,0,1,0,1,0
Q8IY81,1,1,1,0,0,0
Q8IYB3,1,0,1,0,1,0
Q8IZD4,1,0,1,1,1,1
Q8N3D4,1,1,1,1,1,1
Q8N3E9,1,0,0,1,0,0
Q8N3V7,1,1,1,1,1,1
Q8N6H7,1,1,1,1,1,1
Q8N766,1,0,0,0,0,0
Q8NBF2,0,0,1,0,0,0
Q8NBQ5,1,0,0,0,0,0
Q8NCN5,0,0,1,0,1,1
Q8NE71,1,1,1,1,1,1
Q8NEV4,1,0,0,1,1,0
Q8NFD5,1,0,1,0,1,0
Q8NHV4,0,0,0,0,1,0
Q8NI27,1,0,1,0,1,0
Q8NI36,1,1,1,1,1,1
Q8TB61,0,1,0,1,0,0
Q8TBC3,1,0,0,1,0,0
Q8TCJ2,1,0,1,0,1,0
Q8TCS8,0,1,0,1,0,1
Q8TDB6,1,0,1,0,0,1
Q8TDD1,1,0,1,0,1,0
Q8TED0,1,0,1,0,1,0
Q8TEM1,0,0,0,0,1,0
Q8TER5,0,1,0,0,0,0
Q8TEW0,1,1,1,1,1,1
Q8TF72,0,0,0,0,0,1
Q8WUA4,0,1,0,1,0,1
Q8WVV9,1,0,0,0,0,0
Q8WWI1,1,1,1,1,1,1
Q8WWM7,1,1,1,0,1,1
Q8WWQ0,0,0,0,1,0,0
Q8WX93,1,1,1,1,1,1
Q8WYP5,1,0,1,0,0,0
Q92466,0,1,0,1,0,1
Q92499,1,1,1,1,1,1
Q92544,0,0,1,1,1,1
Q92616,1,1,1,1,1,1
Q92620,1,0,1,0,1,0
Q92621,1,1,1,1,1,1
Q92626,0,0,1,0,0,0
Q92643,1,0,1,0,0,0
Q92900,1,1,1,1,1,1
Q93009,0,1,0,0,0,1
Q969H8,0,1,0,1,0,1
Q969M3,0,0,0,1,1,1
Q96AC1,1,1,1,1,1,1
Q96BP3,1,1,1,1,1,1
Q96CB8,1,1,1,1,1,1
Q96CW1,1,1,1,1,1,1
Q96EE3,0,1,0,1,0,1
Q96EV2,1,1,1,1,0,1
Q96FS4,0,0,1,0,1,0
Q96GQ7,1,1,1,1,1,1
Q96GX5,0,1,0,1,0,1
Q96HC4,1,1,1,1,1,1
Q96K37,0,0,0,0,0,1
Q96KP4,1,1,1,1,0,1
Q96KR1,1,1,1,1,1,1
Q96N66,1,1,1,1,1,1
Q96P48,1,1,1,1,1,1
Q96PE2,1,1,1,1,1,1
Q96QC0,1,1,1,1,1,1
Q96S97,1,1,1,1,1,1
Q96ST3,1,1,1,1,1,1
Q96SU4,1,1,1,1,1,1
Q96T37,1,1,1,1,1,1
Q99460,1,0,1,0,1,0
Q99575,0,0,1,0,0,0
